depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr,poreice_CT_hr,totalice_CT_hr,organic_CT_hr,mineral_CT_hr
40.95,2.591,49.052,14.553,33.805,24.595698187782688,73.64769818778268,4.600004154660322,19.162297657556987
40.955,2.617,48.856,14.628,33.9,24.688043002661864,73.54404300266187,4.617785964000776,19.222171033337357
40.96,2.625,48.75,14.637,33.988,24.732398727905007,73.48239872790501,4.625648744069238,19.266952528025755
40.965,2.624,48.649,14.647,34.079,24.77873866167543,73.42773866167543,4.633878252036512,19.313383086288056
40.97,2.633,48.453,14.81,34.104,24.900607246657138,73.35360724665713,4.6589520430454066,19.354440710297453
40.975,2.636,48.291,14.945,34.128,25.002972442470032,73.29397244247002,4.679965075924827,19.390062481605142
40.98,2.626,48.082,15.022,34.27,25.11709570372183,73.19909570372184,4.7015467572620135,19.473357539016156
40.985,2.625,47.828,15.096,34.451,25.246117105422677,73.07411710542269,4.725618205574898,19.575264689002424
40.99,2.619,47.55,15.224,34.607,25.401054658268077,72.95105465826808,4.755507110930058,19.674438230801865
40.995,2.614,47.309,15.207,34.87,25.503721874423057,72.81272187442306,4.772756997297128,19.800521128279815
41.0,2.618,46.93,15.376,35.076,25.70830143688172,72.63830143688172,4.812222029856329,19.931476533261954
41.005,2.613,46.491,15.669,35.227,25.97343791724022,72.46443791724022,4.865225719013908,20.057336363745872
41.01,2.585,46.117,15.799,35.499,26.180126892627655,72.29712689262766,4.904075050456987,20.21379805691536
41.015,2.556,45.767,15.846,35.832,26.356787757533525,72.12378775753353,4.935671064389614,20.385541178076863
41.02,2.549,45.391,15.966,36.094,26.552322466827675,71.94332246682768,4.97234892962464,20.53532860354769
41.025,2.538,45.07,16.083,36.309,26.725397694098852,71.79539769409885,5.00508456688113,20.661517739020017
41.03,2.533,44.778,16.145,36.544,26.869703779780238,71.64770377978024,5.031486437918531,20.787809782301228
41.035,2.547,44.532,16.169,36.752,26.9764019548559,71.5084019548559,5.050459434394359,20.894138610749746
41.04,2.583,44.204,16.309,36.904,27.137774371669607,71.3417743716696,5.081757448975138,20.99346817935526
41.045,2.633,43.895,16.48,36.991,27.2920234813107,71.1870234813107,5.112607107456622,21.066369411232674
41.05,2.684,43.579,16.745,36.993,27.47336671057179,71.05236671057179,5.150481023912323,21.11415226551589
41.055,2.715,43.357,17.008,36.92,27.620768546608893,70.9777685466089,5.182460930479213,21.124770522911895
