Image slice depth [cm],"Volumetric gas content (CT, direct) [%]","Volumetric excess ice content (CT, direct) [%]","Volumetric phase A content (CT, direct) [%]","Volumetric phase B content (CT, direct) [%]"
depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr
22.215,0.229,48.16,20.441,31.17
22.22,0.223,47.899,20.448,31.43
22.225,0.218,47.663,20.501,31.618
22.23,0.217,47.423,20.569,31.79
22.235,0.22,47.214,20.519,32.047
22.24,0.22,46.95,20.563,32.268
22.245,0.218,46.678,20.634,32.47
22.25,0.206,46.454,20.758,32.582
22.255,0.203,46.29,20.832,32.676
22.26,0.209,46.164,20.785,32.842
22.265,0.213,46.05,20.706,33.03
22.27,0.208,45.938,20.65,33.205
22.275,0.202,45.886,20.538,33.373
22.28,0.195,45.887,20.522,33.396
22.285,0.189,45.868,20.589,33.354
22.29,0.189,45.932,20.564,33.315
22.295,0.189,45.988,20.598,33.225
22.3,0.19,46.082,20.631,33.098
22.305,0.194,46.177,20.67,32.959
22.31,0.193,46.298,20.683,32.826
22.315,0.191,46.457,20.618,32.734
22.32,0.189,46.548,20.657,32.606
22.325,0.188,46.696,20.704,32.411
22.33,0.194,46.837,20.752,32.218
22.335,0.203,46.959,20.812,32.027
22.34,0.211,47.106,20.787,31.897
22.345,0.225,47.189,20.816,31.77
22.35,0.238,47.23,20.866,31.666
22.355,0.248,47.288,20.896,31.568
22.36,0.26,47.378,21.008,31.353
22.365,0.268,47.536,20.979,31.218
22.37,0.275,47.654,21.03,31.041
22.375,0.277,47.793,21.114,30.817
22.38,0.282,47.985,21.079,30.654
22.385,0.292,48.067,21.188,30.453
22.39,0.296,48.209,21.221,30.274
22.395,0.298,48.451,21.201,30.05
22.4,0.284,48.716,21.232,29.767
22.405,0.269,49.083,21.174,29.474
22.41,0.257,49.439,21.117,29.187
22.415,0.238,49.735,21.069,28.958
22.42,0.225,49.822,21.228,28.725
22.425,0.213,49.815,21.34,28.633
22.43,0.204,49.83,21.273,28.694
22.435,0.202,49.891,21.156,28.751
22.44,0.196,49.998,20.994,28.811
22.445,0.195,50.036,21.012,28.757
22.45,0.191,50.122,21.069,28.618
22.455,0.192,50.314,20.984,28.509
22.46,0.19,50.39,21.011,28.41
22.465,0.188,50.587,20.861,28.363
22.47,0.179,50.709,20.891,28.22
22.475,0.169,50.894,20.895,28.043
22.48,0.159,51.154,20.879,27.809
22.485,0.153,51.484,20.777,27.585
22.49,0.148,51.862,20.535,27.455
22.495,0.141,52.052,20.603,27.204
22.5,0.132,52.292,20.648,26.927
22.505,0.125,52.533,20.605,26.737
22.51,0.123,52.795,20.462,26.619
22.515,0.118,53.059,20.321,26.503
